FlightDate,FlightNum,Route,Origin,Dest,Distance,Weather,DepartureTime,CRSDepTime,DelayMinutes,is_delay,Airline
11/1/2020,6E5015,COK_DEL,COK,DEL,2200,Rain,11:00 AM,1100,-2,0,IndiGo
22/6/2020,AI110,MUM_DEL,MUM,DEL,1400,Clear,2:30 PM,1430,10,1,AirIndia
18/9/2020,SG211,BLR_MUM,BLR,MUM,800,Fog,6:00 PM,1800,20,1,SpiceJet
1/11/2020,UK310,HYD_DEL,HYD,DEL,625,Clear,7:45 AM,745,0,0,Vistara
1/4/2020,6E5016,DEL_COK,DEL,COK,2200,Clear,12:15 PM,1215,5,1,IndiGo
1/9/2020,6E5017,COK_DEL,COK,DEL,2200,Rain,5:30 PM,1730,0,0,IndiGo
1/14/2020,AI111,DEL_MUM,DEL,MUM,1400,Clear,10:00 AM,1000,12,1,AirIndia
1/19/2020,SG212,BLR_HYD,BLR,HYD,625,Fog,8:00 AM,800,15,1,SpiceJet
1/24/2020,UK311,DEL_BOM,DEL,BOM,1400,Rain,3:15 PM,1515,5,1,Vistara
1/29/2020,6E5018,DEL_COK,DEL,COK,2200,Clear,6:00 AM,600,0,0,IndiGo
2/3/2020,6E5019,COK_DEL,COK,DEL,2200,Storm,1:30 PM,1330,10,1,IndiGo
2/8/2020,AI112,MUM_DEL,MUM,DEL,1400,Clear,4:45 PM,1645,20,1,AirIndia
2/13/2020,SG213,BLR_MUM,BLR,MUM,800,Rain,7:00 AM,700,0,0,SpiceJet
2/18/2020,UK312,HYD_DEL,HYD,DEL,625,Clear,2:30 PM,1430,0,0,Vistara
2/23/2020,6E5020,DEL_COK,DEL,COK,2200,Fog,6:15 AM,615,25,1,IndiGo
